process_variance,process_index,rotation_index,window,policy,policy_class,mean_mse,seed_standard_error,independent_seeds
0.01,1,1,whole,ema_q0p9,fixed_uniform_EMA,0.3136647458606878,0.0032679447226637392,32
0.01,1,1,whole,ema_q0p99,fixed_uniform_EMA,0.5366601003408816,0.019009967583512935,32
0.01,1,1,whole,ema_q0p999,fixed_uniform_EMA,4.02603773870995,0.34237587290630955,32
0.01,1,1,whole,dema_q0p9,signed_uniform_DEMA,0.659703258026922,0.0047567055998869396,32
0.01,1,1,whole,dema_q0p99,signed_uniform_DEMA,0.3245217518090262,0.009430272344906024,32
0.01,1,1,whole,dema_q0p999,signed_uniform_DEMA,2.1542414461229287,0.1269673903363429,32
0.01,1,1,whole,ema_common_steady_oracle,model_based_common_control,0.230180054808181,0.004631730258740763,32
0.01,1,1,whole,common_kalman,model_based_common_control,0.22025435728612083,0.0028639302171500416,32
0.01,1,1,whole,useful_oracle_kalman,generating_direction_oracle,0.10372049523513957,0.001489038029968002,32
0.01,1,1,whole,scalar_k0,scalar_mixture,0.5366601003408817,0.01900996758351294,32
0.01,1,1,whole,scalar_k0p5,scalar_mixture,0.635902750064914,0.005289558595458229,32
0.01,1,1,whole,scalar_k0p9,scalar_mixture,0.46605710702388037,0.0032164639864175576,32
0.01,1,1,whole,scalar_k1,scalar_mixture,0.3136647458606878,0.0032679447226637405,32
0.01,1,1,whole,oracle_useful,generating_direction_oracle,0.15984475664507608,0.014536444620012436,32
0.01,1,1,whole,oracle_nuisance,generating_direction_oracle,0.6904800895564933,0.014043991482964374,32
0.01,1,1,whole,native_i17,native_learned_direction,0.6691451311284055,0.013331999068099643,32
0.01,1,1,whole,native_cp,native_learned_direction,0.6697048388891671,0.013228858471118005,32
0.01,1,1,whole,native_cp_star,native_learned_direction,1.0798879295964747,0.012575980745691018,32
0.01,1,1,whole,oracle_useful_star,generating_direction_oracle,0.2317621201275718,0.014528317968525918,32
0.01,1,1,startup,raw,raw,4.9035316037743275,0.1002464715902561,32
0.01,1,1,startup,ema_q0p9,fixed_uniform_EMA,0.5256558984367192,0.061144961525572784,32
0.01,1,1,startup,ema_q0p99,fixed_uniform_EMA,2.4430670907417555,0.5083878568452564,32
0.01,1,1,startup,ema_q0p999,fixed_uniform_EMA,4.9856351151572245,1.075002309891599,32
0.01,1,1,startup,dema_q0p9,signed_uniform_DEMA,0.7387538096365003,0.04265607158836198,32
0.01,1,1,startup,dema_q0p99,signed_uniform_DEMA,1.290123598315077,0.25640552127873206,32
0.01,1,1,startup,dema_q0p999,signed_uniform_DEMA,4.534617509215932,0.9737835881624515,32
0.01,1,1,startup,ema_common_steady_oracle,model_based_common_control,0.75321354680237,0.134078312838714,32
0.01,1,1,startup,common_kalman,model_based_common_control,0.3561094158113885,0.026168774601169602,32
0.01,1,1,startup,useful_oracle_kalman,generating_direction_oracle,0.3069941635034825,0.02623337838919575,32
0.01,1,1,startup,scalar_k0,scalar_mixture,2.4430670907417555,0.5083878568452564,32
0.01,1,1,startup,scalar_k0p5,scalar_mixture,1.1535565858715655,0.1341532615926256,32
0.01,1,1,startup,scalar_k0p9,scalar_mixture,0.6030861017389919,0.04346148185861703,32
0.01,1,1,startup,scalar_k1,scalar_mixture,0.5256558984367192,0.06114496152557277,32
0.01,1,1,startup,oracle_useful,generating_direction_oracle,1.672896949841678,0.5073870998257977,32
0.01,1,1,startup,oracle_nuisance,generating_direction_oracle,1.2958260393367973,0.15693764391479006,32
0.01,1,1,startup,native_i17,native_learned_direction,0.834655540081636,0.09875679425639781,32
0.01,1,1,startup,native_cp,native_learned_direction,0.8407292851493495,0.09833008822103853,32
0.01,1,1,startup,native_cp_star,native_learned_direction,1.0062150248798372,0.0933795712362596,32
0.01,1,1,startup,oracle_useful_star,generating_direction_oracle,1.6967712445984202,0.5084998634643841,32
0.01,1,1,transition,raw,raw,4.998497274609449,0.033784022542425046,32
0.01,1,1,transition,ema_q0p9,fixed_uniform_EMA,0.31434685491158054,0.005923581611621466,32
0.01,1,1,transition,ema_q0p99,fixed_uniform_EMA,0.5015709268367445,0.03196285216954451,32
0.01,1,1,transition,ema_q0p999,fixed_uniform_EMA,3.8960753184838053,0.6025505947834199,32
0.01,1,1,transition,dema_q0p9,signed_uniform_DEMA,0.6655160595461851,0.00981393701198061,32
0.01,1,1,transition,dema_q0p99,signed_uniform_DEMA,0.32499075444741266,0.016460376684562496,32
0.01,1,1,transition,dema_q0p999,signed_uniform_DEMA,2.1187229431182546,0.2573349272962167,32
0.01,1,1,transition,ema_common_steady_oracle,model_based_common_control,0.22254051061081287,0.006704986178639852,32
0.01,1,1,transition,common_kalman,model_based_common_control,0.22254898062287673,0.006711223573120848,32
0.01,1,1,transition,useful_oracle_kalman,generating_direction_oracle,0.10685648390022252,0.0029287885588862176,32
0.01,1,1,transition,scalar_k0,scalar_mixture,0.5015709268367445,0.0319628521695445,32
0.01,1,1,transition,scalar_k0p5,scalar_mixture,0.6248970109310025,0.008753346411788336,32
0.01,1,1,transition,scalar_k0p9,scalar_mixture,0.4673833370569827,0.00619384871613618,32
0.01,1,1,transition,scalar_k1,scalar_mixture,0.31434685491158054,0.005923581611621466,32
0.01,1,1,transition,oracle_useful,generating_direction_oracle,0.14255146459695034,0.008328561351692536,32
